"presence","x","y","cells","chl_mean_surf","o2_mean_surf","sithick_mean_surf","sithick_min_surf","sws_mean_surf","so_mean_benth","sws_mean_benth","sws_min_benth","sws_max_benth","aspect","bathymetry_mean","terrain_ruggedness_index","selected","fold"
0,-7.47500025350064,-54.0750005932334,2271451,0.327753722667694,355.821441650391,0.0187239218503237,0,0.0525033660233021,34.6829605102539,0.00191176193766296,0.0401399619877338,0.0227807331830263,50.1287422180176,-3320.41674804688,50.1943969726562,TRUE,1
0,-5.67500019245702,-54.0750005932334,2271487,0.332420855760574,358.914428710938,0.0297437477856874,0,0.0710679814219475,34.6838150024414,0.00338247534818947,0.0282667875289917,0.0324090607464314,263.203155517578,-2853.33325195312,283.256896972656,TRUE,2
0,7.37500025010934,-54.0750005932334,2271748,0.490581512451172,349.684722900391,0.0576599165797234,0,0.112798921763897,34.6731605529785,0.0460313372313976,0.0192523580044508,0.111013270914555,164.301483154297,-3736.16674804688,539.62158203125,TRUE,2
0,20.1250006825017,-54.0750005932334,2272003,0.419040679931641,346.892211914062,0.031030960381031,0,0.114040315151215,34.6677398681641,0.00456237560138106,0.0284981150180101,0.0408106856048107,180.178161621094,-4011.5556640625,134.708312988281,TRUE,1
0,39.4750013387208,-54.0750005932334,2272390,0.355232208967209,340.218566894531,0.000953565759118646,0,0.101861983537674,34.6854400634766,0.0276729222387075,0.0895625054836273,0.0838140696287155,277.699584960938,-2919.91674804688,116.423583984375,TRUE,2
0,55.2750018745483,-54.0750005932334,2272706,0.39187479019165,342.7744140625,0.000429392617661506,0,0.0790584832429886,34.6662559509277,0.0212969612330198,0.122118100523949,0.0732238292694092,181.258773803711,-4807.66650390625,46.2186889648438,TRUE,1
0,68.3250023171146,-54.0750005932334,2272967,0.355714738368988,340.499328613281,0.000298018479952589,0,0.06745845079422,34.685173034668,0.00215845555067062,0.0337918289005756,0.0580669268965721,192.571624755859,-4282,30.4548950195312,TRUE,1
0,97.375003302291,-54.0750005932334,2273548,0.390043020248413,331.010040283203,0.000225901560042985,0,0.0791019573807716,34.6767959594727,0.0661767870187759,0.203558772802353,0.0688493698835373,293.114440917969,-3953.6943359375,42.8992309570312,TRUE,2
0,122.425004151815,-54.0750005932334,2274049,0.345373839139938,326.967407226562,6.22684410700458e-06,0,0.139454707503319,34.6872940063477,0.0152324801310897,0.130992293357849,0.0772425383329391,309.432342529297,-4768.02783203125,131.232604980469,TRUE,2
0,127.375004319685,-54.0750005932334,2274148,0.342660069465637,322.920562744141,0,0,0.135009840130806,34.6858863830566,0.0137416953220963,0.0953284725546837,0.174036264419556,164.581893920898,-4388.25,130.756958007812,TRUE,2
